date,epilepsie,anevrisme_miliaire,aphasie,arthropathie_tabetique,astasie_abasie,ataxie_locomotrice_progressive,athetose,atrophie_musculaire_progressive,bulbe_rachidien,choree,clonus,coupe_verticale,fugue,glossy_skin,hypnose,hysterie,localisation_cerebrale,maladie_de_parkinson,maladie_de_gilles_de_la_tourette,methode_anatomo_clinique,migraine_ophtalmique,pachymeningite_cervicale_hypertrophique,paralysie_agitante,sclerose_en_plaques_disseminees,sclerose_laterale_amyotrophique,syndrome_de_parkinson,syndrome_de_gilles_de_la_tourette,systematisation_de_la_moelle,tabes_dorsalis,tabes_dorsalis_spasmodique,thrombose_de_l_artere_cerebrale_posterieure,tic_convulsif,tremblement
1881,3.176476,,1.761502,,,,1.761502,,,,,,,,,2.782692,,,,,,,1.460472,,1.460472,,,,1.460472,1.460472,,,2.062532
1882,3.256664,,1.27894,,,,,,,,,,,,,2.233182,,,,,,,,,,,,,,,,,1.97791
1883,3.461552,,,,,,,,,,,,,,,2.30665,,,,,,,,,,,,,,,,,2.30665
1884,2.793452,,1.550414,,,,,,,,,,,,,2.453504,,,,,,,,,,,,,,,,,
1885,3.239051,,,,,,1.149146,,,,,1.149146,1.626267,,,1.626267,,,,,,,,,,,,,,,,,1.149146
1886,2.282685,,,,,,,,2.252721,2.252721,,2.891923,,,,1.407623,1.708653,,,,,,,,,,,,,,,,
1887,2.28975,,1.148823,,,,,,,1.750883,,,,,2.370672,2.694954,,,,,,,,,,,,,,,,1.601121,1.7324
1888,2.997544,,1.053062,1.793424,0.752032,0.451002,2.094454,0.451002,0.451002,2.149972,,,1.053062,,2.451002,2.455323,0.752032,0.451002,,,,1.149972,1.831213,,,,,,0.451002,,,,2.326063
1889,2.619912,,1.619912,,,0.950905,,0.950905,,1.552965,,,0.950905,0.473784,2.669683,2.943606,,0.774814,,0.473784,,,1.552965,,0.774814,,,,0.473784,,,,2.293327
1890,2.324786,,1.386934,,1.261995,,0.784874,1.006723,,1.629972,0.307753,,1.152851,,2.411556,2.773135,0.909813,0.784874,,,,,1.307753,,0.307753,,,,0.608783,,,0.909813,2.617383
1891,2.290132,,0.957693,,0.832755,0.957693,0.355633,1.397026,,1.531725,0.656663,,0.656663,,2.469577,3.046715,0.355633,0.656663,,,,0.355633,1.397026,0.355633,0.656663,,,,1.200731,0.656663,,0.957693,3.031412
1892,2.192377,,1.421525,1.120495,,0.722555,2.801736,,,2.474603,0.421525,,0.898646,,2.284848,2.877891,1.266623,1.676797,,,,,1.462917,,0.722555,,,,1.625645,1.266623,,1.120495,2.489711
1893,2.095421,,1.92271,1.134339,,,1.403185,0.590271,1.134339,1.631664,,2.067393,0.766363,,0.891301,2.409815,0.590271,,,,,,0.766363,,0.289241,,,,1.134339,0.766363,,,1.590271
1894,2.377265,,1.546725,1.97685,,0.432782,0.909903,1.546725,,1.636902,0.432782,,0.909903,,2.428417,2.553356,0.733812,0.733812,,0.733812,,0.733812,0.909903,,0.909903,,,,0.733812,,,,2.045566
1895,1.906596,,1.930077,,0.174202,,0.651323,,1.215595,1.32033,0.174202,0.873172,1.692716,,2.043434,2.350293,0.475232,1.475232,,,1.174202,,0.952353,,,,,0.174202,1.0193,0.174202,,,1.692716
1896,2.42795,,1.441179,0.9183,,0.441179,0.9183,,,1.61727,0.9183,,1.043239,,2.240519,2.349664,0.441179,,,,,,0.441179,,0.441179,,,,1.645299,0.441179,,0.441179,2.064428
1897,2.246904,,1.632255,0.878927,1.003866,,0.878927,0.878927,,1.92032,0.878927,0.401806,0.878927,0.702836,2.538527,2.469992,,0.401806,,,,,0.702836,,,,,,0.878927,,,0.702836,1.98159
1898,2.627052,,1.812177,,,0.581729,,,0.581729,1.96194,0.581729,,1.280699,,,2.297732,1.280699,1.05885,,1.05885,0.581729,,0.581729,,,,,,1.812177,,1.05885,,1.426827
1899,2.144115,,1.950991,,0.252021,0.252021,0.729142,1.808323,1.206263,1.924118,0.854081,,1.843085,,2.211062,2.450678,0.729142,1.030172,,,,0.252021,,,0.252021,,,,1.331202,,,1.030172,2.132834
1900,2.391386,,1.907086,1.685238,0.606056,0.305026,1.083178,0.606056,,1.451155,0.782148,0.305026,1.606056,,2.150125,2.599493,0.782148,,,,,,0.907086,1.208116,0.606056,,,,0.305026,,,0.305026,2.264068
1901,2.106268,,2.036847,,0.161786,,0.161786,0.462816,1.877789,1.653148,0.462816,,1.462816,,1.974699,2.49624,1.203179,0.638907,,0.161786,0.161786,,,,,,,,,,,0.161786,2.229972
