date,epilepsie,anevrisme_miliaire,aphasie,arthropathie_tabetique,astasie_abasie,ataxie_locomotrice_progressive,athetose,atrophie_musculaire_progressive,bulbe_rachidien,choree,clonus,coupe_verticale,fugue,glossy_skin,hypnose,hysterie,localisation_cerebrale,maladie_de_parkinson,maladie_de_gilles_de_la_tourette,methode_anatomo_clinique,migraine_ophtalmique,pachymeningite_cervicale_hypertrophique,paralysie_agitante,sclerose_en_plaques_disseminees,sclerose_laterale_amyotrophique,syndrome_de_parkinson,syndrome_de_gilles_de_la_tourette,systematisation_de_la_moelle,tabes_dorsalis,tabes_dorsalis_spasmodique,thrombose_de_l_artere_cerebrale_posterieure,tic_convulsif,tremblement
1881,1501.328098,,57.743388,,,,57.743388,,,,,,,,,606.305578,,,,,,,28.871694,,28.871694,,,,28.871694,28.871694,,,115.486777
1882,1805.774677,,19.008154,,,,,,,,,,,,,171.07339,,,,,,,,,,,,,,,,,95.040772
1883,2894.356006,,,,,,,,,,,,,,,202.60492,,,,,,,,,,,,,,,,,202.60492
1884,621.515076,,35.515147,,,,,,,,,,,,,284.121178,,,,,,,,,,,,,,,,,
1885,1734.006259,,,,,,14.097612,,,,,14.097612,42.292836,,,42.292836,,,,,,,,,,,,,,,,,14.097612
1886,191.727593,,,,,,,,178.945754,178.945754,,779.692213,,,,25.563679,51.127358,,,,,,,,,,,,,,,,
1887,194.872276,,14.087153,,,,,,,56.34861,,,,,234.785875,495.398197,,,,,,,,,,,,,,,,39.913599,54.000751
1888,994.361518,,11.299563,62.147595,5.649781,2.824891,124.29519,2.824891,2.824891,141.244534,,,11.299563,,282.489068,285.313958,5.649781,2.824891,,,,14.124453,67.797376,,,,,,2.824891,,,,211.866801
1889,416.784508,,41.678451,,,8.931097,,8.931097,,35.724386,,,8.931097,2.977032,467.394055,878.224498,,5.954064,,2.977032,,,35.724386,,5.954064,,,,2.977032,,,,196.484125
1890,211.244719,,24.374391,,18.280793,,6.093598,10.155996,,42.655184,2.031199,,14.218395,,257.962301,593.110172,8.124797,6.093598,,,,,20.311992,,2.031199,,,,4.062398,,,8.124797,414.364641
1891,195.043624,,9.071796,,6.803847,9.071796,2.267949,24.94744,,34.019237,4.535898,,4.535898,,294.833385,1113.563016,2.267949,4.535898,,,,2.267949,24.94744,2.267949,4.535898,,,,15.875644,4.535898,,9.071796,1075.007881
1892,155.731582,,26.395183,13.197592,,5.279037,633.484402,,,298.265572,2.639518,,7.918555,,192.684839,754.902245,18.476628,47.51133,,,,,29.034702,,5.279037,,,,42.232293,18.476628,,13.197592,308.823646
1893,124.572269,,83.696994,13.625092,,,25.303742,3.892883,13.625092,42.821718,,116.786503,5.839325,,7.785767,256.930306,3.892883,,,,,,5.839325,,1.946442,,,,13.625092,5.839325,,,38.928834
1894,238.377085,,35.214797,94.809068,,2.708831,8.126492,35.214797,,43.341288,2.708831,,8.126492,,268.174221,357.565628,5.417661,5.417661,,5.417661,,5.417661,8.126492,,8.126492,,,,5.417661,,,,111.062051
1895,80.648413,,85.128881,,1.493489,,4.480467,,16.42838,20.908848,1.493489,7.467446,49.285141,,110.518196,224.02337,2.986978,29.869783,,,14.934891,,8.960935,,,,,1.493489,10.454424,1.493489,,,49.285141
1896,267.886239,,27.617138,8.285141,,2.761714,8.285141,,,41.425707,8.285141,,11.046855,,173.98797,223.698819,2.761714,,,,,,2.761714,,2.761714,,,,44.187421,2.761714,,2.761714,115.99198
1897,176.564806,,42.880024,7.567063,10.089417,,7.567063,7.567063,,83.237694,7.567063,2.522354,7.567063,5.044709,345.562548,295.115461,,2.522354,,,,,5.044709,,,,,,7.567063,,,5.044709,95.849466
1898,423.693231,,64.889954,,,3.817056,,,3.817056,91.609347,3.817056,,19.085281,,,198.486919,19.085281,11.451168,,11.451168,3.817056,,3.817056,,,,,,64.889954,,11.451168,,26.719393
