filename,date,total_tokens
corpus_Charcot/CL_000004_001_texte.txt.xml,1881,282416
corpus_Charcot/CN_000029_001_texte.txt.xml,1881,203689
corpus_Charcot/CN_000030_002_texte.txt.xml,1881,96487
corpus_Charcot/CN_000031_003_texte.txt.xml,1882,118280
corpus_Charcot/CN_000032_004_texte.txt.xml,1882,128592
corpus_Charcot/CN_000033_005_texte.txt.xml,1883,143945
corpus_Charcot/CN_000034_006_texte.txt.xml,1883,151186
corpus_Charcot/CN_000035_007_texte.txt.xml,1884,138219
corpus_Charcot/CN_000036_008_texte.txt.xml,1884,132849
corpus_Charcot/CN_000037_009_texte.txt.xml,1885,142636
corpus_Charcot/CN_000038_010_texte.txt.xml,1885,154127
corpus_Charcot/CL_000001_002_texte.txt.xml,1886,147372
corpus_Charcot/CN_000039_011_texte.txt.xml,1886,149325
corpus_Charcot/CN_000040_012_texte.txt.xml,1886,138153
corpus_Charcot/CN_000041_013_texte.txt.xml,1887,164147
corpus_Charcot/CN_000042_014_texte.txt.xml,1887,152294
corpus_Charcot/CL_000001_005_texte.txt.xml,1888,177837
corpus_Charcot/CN_000043_015_texte.txt.xml,1888,159843
corpus_Charcot/CN_000044_016_texte.txt.xml,1888,167044
corpus_Charcot/CL_000001_008_texte.txt.xml,1889,126886
corpus_Charcot/CL_000009_002_texte.txt.xml,1889,206590
corpus_Charcot/CN_000045_017_texte.txt.xml,1889,163248
corpus_Charcot/CN_000046_018_texte.txt.xml,1889,150277
corpus_Charcot/CL_000001_003_texte.txt.xml,1890,141558
corpus_Charcot/CL_000001_007_texte.txt.xml,1890,169699
corpus_Charcot/CL_000001_009_texte.txt.xml,1890,141274
corpus_Charcot/CN_000047_019_texte.txt.xml,1890,136580
corpus_Charcot/CN_000048_020_texte.txt.xml,1890,153372
corpus_Charcot/CL_000001_006_texte.txt.xml,1891,120780
corpus_Charcot/CN_000049_021_texte.txt.xml,1891,166120
corpus_Charcot/CN_000050_022_texte.txt.xml,1891,155954
corpus_Charcot/CO_000092_010_texte.txt.xml,1891,10718
corpus_Charcot/CL_000001_001_texte.txt.xml,1892,143429
corpus_Charcot/CL_000005_001_texte.txt.xml,1892,128376
corpus_Charcot/CN_000051_023_texte.txt.xml,1892,154352
corpus_Charcot/CN_000052_024_texte.txt.xml,1892,194690
corpus_Charcot/CL_000001_004_texte.txt.xml,1893,105109
corpus_Charcot/CL_000005_002_texte.txt.xml,1893,146912
corpus_Charcot/CN_000053_025_texte.txt.xml,1893,164037
corpus_Charcot/CN_000054_026_texte.txt.xml,1893,185848
corpus_Charcot/CN_000055_027_texte.txt.xml,1894,167619
corpus_Charcot/CN_000056_028_texte.txt.xml,1894,197784
corpus_Charcot/CN_000057_029_texte.txt.xml,1895,179913
corpus_Charcot/CN_000058_030_texte.txt.xml,1895,186924
corpus_Charcot/CN_000059_001_texte.txt.xml,1896,183648
corpus_Charcot/CN_000060_002_texte.txt.xml,1896,183195
corpus_Charcot/CN_000061_003_texte.txt.xml,1897,187109
corpus_Charcot/CN_000062_004_texte.txt.xml,1897,200788
corpus_Charcot/CN_000063_005_texte.txt.xml,1898,194234
corpus_Charcot/CN_000064_006_texte.txt.xml,1898,191150
corpus_Charcot/CN_000065_007_texte.txt.xml,1899,188185
corpus_Charcot/CN_000066_008_texte.txt.xml,1899,199449
corpus_Charcot/CN_000067_009_texte.txt.xml,1900,205880
corpus_Charcot/CN_000068_010_texte.txt.xml,1900,191590
corpus_Charcot/CN_000069_011_texte.txt.xml,1901,201015
corpus_Charcot/CN_000070_012_texte.txt.xml,1901,191204
corpus_Charcot/CN_000071_013_texte.txt.xml,1902,192637
corpus_Charcot/CN_000072_014_texte.txt.xml,1902,188848
corpus_Charcot/CN_000073_015_texte.txt.xml,1903,216366
corpus_Charcot/CN_000074_016_texte.txt.xml,1903,195088
corpus_Charcot/CN_000075_017_texte.txt.xml,1904,196760
corpus_Charcot/CN_000076_018_texte.txt.xml,1904,187903
corpus_Charcot/CN_000077_019_texte.txt.xml,1905,167398
corpus_Charcot/CN_000078_020_texte.txt.xml,1905,174261
corpus_Charcot/CN_000079_021_texte.txt.xml,1906,169622
corpus_Charcot/CN_000080_022_texte.txt.xml,1906,163101
corpus_Charcot/CN_000081_001_texte.txt.xml,1906,186690
corpus_Charcot/CN_000082_002_texte.txt.xml,1907,184133
