date,epilepsie,anevrisme_miliaire,aphasie,arthropathie_tabetique,astasie_abasie,ataxie_locomotrice_progressive,athetose,atrophie_musculaire_progressive,bulbe_rachidien,choree,clonus,coupe_verticale,fugue,glossy_skin,hypnose,hysterie,localisation_cerebrale,maladie_de_parkinson,maladie_de_gilles_de_la_tourette,methode_anatomo_clinique,migraine_ophtalmique,pachymeningite_cervicale_hypertrophique,paralysie_agitante,sclerose_en_plaques_disseminees,sclerose_laterale_amyotrophique,syndrome_de_parkinson,syndrome_de_gilles_de_la_tourette,systematisation_de_la_moelle,tabes_dorsalis,tabes_dorsalis_spasmodique,thrombose_de_l_artere_cerebrale_posterieure,tic_convulsif,tremblement
1881,2.792143,0.535665,1.942206,1.276028,,,0.535665,0.234635,0.234635,2.109697,0.234635,0.234635,0.535665,,,2.899277,1.632575,,,,,,1.137725,,1.188878,,,,1.438755,0.711757,,,2.348579
1882,2.675714,0.607528,2.355716,,,0.607528,,,0.607528,1.721472,1.209588,1.510618,,,,2.339922,1.209588,0.908558,,,0.607528,,1.385679,,,,,,1.561771,0.607528,,,2.126042
1883,2.673,0.529985,2.007106,0.529985,,1.228955,1.228955,1.007106,,1.529985,,1.132045,1.007106,,0.529985,2.43847,1.375083,0.529985,,,0.529985,,1.132045,0.529985,1.375083,,,0.529985,1.375083,0.831015,,,2.270348
1884,2.94167,,2.638804,0.867952,,1.168982,1.345073,1.345073,0.867952,2.058283,,1.41202,0.566922,,0.867952,2.687496,1.909344,1.265892,,0.566922,,,1.41202,0.566922,1.521164,,,,1.680865,0.566922,,0.566922,2.098401
1885,2.808624,,2.190348,,,0.52759,1.12965,1.22656,,2.071658,0.52759,0.52759,0.52759,,1.22656,2.446668,0.82862,,,0.52759,,0.82862,1.12965,0.52759,2.083893,,,,1.82862,1.22656,,1.12965,2.15084
1886,2.638122,,2.174574,0.361661,,1.776634,1.592109,1.98491,1.440842,2.132513,0.963721,1.264751,,,1.139812,2.526013,1.206759,0.361661,,,,1.315903,1.060631,1.264751,1.995129,,,,1.963721,1.640414,,0.662691,2.194169
1887,2.771549,,1.962105,,,0.499707,1.675799,0.800737,,2.067909,0.499707,,,,0.976829,2.596617,1.101767,,,0.800737,,,1.101767,,1.344805,,,,1.101767,0.499707,,1.101767,2.162465
1888,2.544919,0.597976,2.200036,0.296946,0.296946,1.142044,1.639369,1.200036,0.296946,1.774067,1.338339,,0.774067,,0.899006,2.135795,1.443074,0.774067,,0.774067,,0.296946,0.774067,,0.774067,,,0.296946,1.338339,,,1.200036,2.313979
1889,2.552707,0.490125,2.143338,0.189095,0.490125,1.78016,0.967246,1.444368,,2.492291,0.189095,0.189095,1.651493,0.490125,1.680457,2.863956,1.365186,0.967246,,0.666216,1.620459,1.268276,1.419544,,1.092185,,,,1.092185,,,1.490125,2.286005
1890,2.445284,2.158697,2.243257,,1.032403,1.275442,1.170706,1.451533,0.828283,2.316834,0.430343,0.129313,0.430343,,1.275442,2.863313,1.591711,0.907465,,0.974412,0.828283,0.606435,1.720378,,0.907465,,,,1.208495,,,1.032403,2.613613
1891,2.705082,0.644384,1.685776,,1.923137,1.457297,0.945414,0.820475,0.945414,2.024595,0.343354,0.343354,0.343354,,1.384746,2.601032,2.121505,,,,0.343354,,0.644384,,1.343354,,,,0.945414,,,1.042324,1.899656
1892,2.803613,0.207015,2.232321,,1.161258,1.462288,1.638379,1.508045,0.985167,2.256233,0.905985,,1.320959,0.985167,1.286197,2.968191,1.485769,1.353143,,0.207015,1.905985,,2.330867,1.621989,1.353143,,,,1.248408,0.207015,,0.985167,2.784507
1893,2.566824,0.822531,1.863924,0.521501,1.123561,1.396563,0.822531,1.521501,1.220471,2.257898,1.174714,0.919441,1.220471,,1.697593,3.023928,1.366599,,,1.123561,0.697593,0.697593,1.738985,0.919441,1.822531,,,,1.788673,1.521501,,1.45092,2.402315
1894,2.312289,,1.981296,,0.437228,,0.738258,1.039288,,1.738258,0.437228,,1.516409,,1.583356,2.6925,1.852201,,,1.340318,0.914349,,1.282326,0.738258,0.738258,,,,1.340318,,,0.738258,2.345713
1895,2.972085,,2.227919,1.037587,1.037587,,1.833467,1.134497,,2.255071,1.037587,,1.581655,,2.048311,2.749394,0.912648,0.435527,,0.435527,1.665976,1.037587,1.280625,,1.213678,,,,1.435527,0.736557,,0.736557,2.206379
1896,2.63964,,2.316333,0.43552,1.03758,0.73655,1.213671,1.280618,,2.098278,0.43552,0.73655,0.73655,,1.882678,2.587808,1.03758,1.13449,,0.73655,0.912641,0.73655,1.514701,,1.13449,,,,2.13449,,,0.43552,2.511067
1897,2.773011,0.411284,1.942762,,0.888405,0.888405,1.110254,1.525227,0.411284,1.955352,1.189435,,0.712314,,1.452676,2.866128,1.013344,,,,,,1.189435,,1.826257,,,,1.842647,0.411284,,1.110254,2.262542
1898,2.706362,0.414106,2.213447,0.414106,,0.715136,1.560234,1.493288,0.715136,1.876504,1.414106,0.414106,,,1.669379,2.435296,1.192258,1.113076,,,1.016166,1.192258,,,1.455499,0.414106,,,1.368349,0.414106,0.414106,1.016166,2.199436
1899,2.654616,0.411578,2.196908,,1.013638,,0.888699,0.888699,0.712608,2.110548,1.256676,0.712608,1.189729,,1.557706,2.607478,0.411578,,,0.411578,1.189729,0.411578,,,0.712608,,,,1.411578,,,0.712608,2.389302
1900,2.798636,0.701726,2.309181,0.877817,,,1.354938,1.354938,,2.511285,1.002756,,1.099666,,1.604816,2.517967,1.245794,0.400696,,0.400696,0.400696,0.701726,1.002756,,1.002756,,,,1.303786,,0.701726,0.877817,2.233205
1901,2.707501,,2.105441,0.707501,0.406471,,0.883593,1.610591,,1.924985,1.610591,,0.406471,,1.184623,2.593992,0.883593,0.707501,,0.883593,0.707501,,1.309561,0.406471,1.360714,,,,1.707501,0.406471,,0.707501,2.212651
1902,2.70408,,2.203852,0.418523,0.418523,0.418523,1.020583,1.117493,,2.244597,1.740742,,1.418523,,1.321613,2.719553,1.020583,0.719553,0.418523,0.418523,1.020583,0.895644,1.263621,,0.895644,,,,1.673795,,,0.418523,2.636006
1903,2.531807,0.385679,1.917158,0.385679,1.288769,,0.8628,1.616128,,1.965462,1.46486,,0.385679,,1.46486,2.558865,0.686709,1.288769,0.385679,,0.385679,,1.339921,,0.8628,,,,1.499622,0.385679,,0.686709,2.230777
1904,3.061323,,2.058372,,1.260018,,1.193071,1.11389,,2.068132,1.645369,0.41492,1.260018,,2.11389,2.525509,1.11389,1.561048,0.41492,,0.892041,,0.41492,,0.71595,,,,1.193071,,,1.01698,2.504825
1905,2.503834,,2.034609,,0.466407,,0.767437,1.244558,,1.971557,1.466407,,1.165377,,1.58035,2.229835,,1.244558,,,,,1.068467,,0.466407,,,,,,0.466407,,2.147648
1906,2.642422,0.585517,2.203565,,0.761608,,1.23873,1.32588,0.284487,2.129585,1.682427,,2.527525,,1.699461,2.563241,0.284487,0.886547,,0.284487,0.886547,,0.761608,,1.62691,,,,1.062638,,,0.761608,2.097401
1907,2.573717,,2.096596,0.734868,1.035898,,,1.433838,,1.51302,1.51302,,1.990141,,1.637958,2.941694,,0.734868,,,,,,,1.035898,0.734868,,,1.433838,,,,1.637958
